Rank  	Player  	   	Alliance  	Points
255   * 	Glennon 	write message   	Armada 	430.266
256   * 	BREETAI 	write message   	NC Veng 	429.844
257   * 	Corpse Bride 	write message   	Nuke 	425.421
258   * 	TK421 	write message   	doop 	423.928
259   * 	Marko-BGD 	write message   		422.441
260   * 	supercuret 	write message   	Nuke 	421.931
261   * 	EFE 	write message   		417.594
262   * 	Decimus 	write message   	ArmedWng 	413.191
263   * 	windancer 	write message   	OGJ 	412.478
264   * 	Xonnex 	write message   	FOSR 	411.752
265   * 	pnation 	write message   	M.O.A 	411.310
266   * 	Mr Q 	write message   	BH 	410.426
267   * 	Tido 	write message   	BAMF 	405.625
268   * 	Holdaway 	write message   	.HF. 	402.858
269   + 	lordofwarzz 	write message   	Cursed.W 	401.657
270   - 	Shady Reaper 	write message   	CURSED 	400.521
271   - 	E W A 	write message   	M.O.A 	399.169
272   * 	alegra 	write message   		393.433
273   * 	ilkor 	write message   	BH 	385.066
274   * 	UnknownUser 	write message   	NC Veng 	385.036
275   * 	que pasa contigo 	write message   	doop_A 	384.200
276   * 	KANUNI SULTAN 	write message   	TURKLER 	382.788
277   * 	Zatoichi 	write message   		382.539
278   + 	Berrik 	write message   	SOLID 	381.044
279   - 	The Gunslinger 	write message   	OGJ 	380.648
280   - 	spaceman 	write message   	BH 	379.364
281   * 	2wiz 	write message   	BH 	378.564
282   * 	Dwar_of_Waw 	write message   	REAVER 	378.162
283   + 	PoisonBeef 	write message   	FOSR 	372.874
284   - 	Raven65 	write message   	SOLID 	371.672
285   - 	deja 	write message   	FWL 	371.493
286   * 	GirlsGeneration 	  	M.O.A 	367.171
287   * 	Morgul 	write message   	doop_A 	366.559
288   * 	NewReaper 	write message   	NC Veng 	365.424
289   * 	DarkSoul 	write message   	UFP 	364.003
290   * 	Perseas 	write message   	G.C. 	362.552
291   * 	mithrandir 	write message   	BH 	362.003
292   * 	Darth Kenneth 	write message   	FWL 	358.690
293   * 	Kaczor72 	write message   	SP 	357.783
294   * 	Cremaster 	write message   	Cells 	356.480
295   * 	ZornX 	write message   	C.O.R.P. 	355.087
296   * 	blackvtr 	write message   	doop_A 	351.741
297   * 	winemaker 	write message   		351.473
298   * 	Dudeman187 	write message   	KUL T5 	350.218
299   * 	Spartan Queen 	write message   		350.207
300   * 	Janissary 	write message   		350.190
